is_checked	word_display	freq_info	freq_rank	stem	pos	pos_detail	ipa	oxford3000	gsl	ccss_tier	cse_level	cefr	freq_grade	meaning_ko	definition_en	etymology	morpheme	word_formation	kr_curriculum	grade_range	textbook_included	curriculum_included	us_grade	atos	lexile	ngsl	gse	eiken_level	eiken_grade	hypernym	hyponym	synonym	antonym	collocation	word_family	register	domain	topic	regional_variant	era	learning_objective	prerequisite	error_pattern	teaching_method	sentence_1	sentence_2	sentence_3	pos_consistency	cefr_consistency	meaning_consistency	educational_value	analysis_date	system_version	status	quality_grade	validation_result	api_number
☐	the	-	1	the	ADJ	definite article	/ðə/ or /ðiː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그	Used to refer to a specific or particular thing.	From Old English 'þē', dative of 'se' (that).	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	90	5급	초급	article | determiner	N/A	that | this	a | an	the book | the car | the end | the beginning | the best	N/A	general	general	grammar, articles	Global	current	Students will be able to use 'the' correctly to refer to specific nouns.	Understanding of nouns and basic sentence structure.	Omission of 'the' when required | Incorrect use of 'a'/'an' instead of 'the'	Contextual examples | Gap-fill exercises | Error correction	This is the book I want.	The government is responsible for the welfare of its citizens.	The more you practice, the better you become.	FALSE	TRUE	TRUE	10	2025-12-14 12:16:31	3.3	오류: API관리 시트에서 활성화된 API 키를 찾을 수 없습니다. API키를 입력하고 상태를 "활성화"로 설정해주세요.	A+	LLM분석(1회시도,완성도100%)	1
☐	and	-	2	and	CONJ	CC	/ænd/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그리고, ~와/과	used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly.	From Old English 'and', related to Old High German 'anti' (at, to, against), from Proto-Germanic *andi ('over against')	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	88	5급	초급	conjunction	nor	also | plus | together with	but | or	and then | and so | and also | and yet | and therefore	null	general	general	grammar, conjunction	Global	current	Students will be able to use 'and' to connect words, phrases, and simple sentences.	Basic vocabulary, understanding of nouns, verbs, and adjectives.	Confusion with 'end' in pronunciation | Incorrect placement in complex sentences	Use visual aids to demonstrate joining words and phrases | Practice sentence combining activities	I like cats and dogs.	She enjoys reading books and watching movies in her free time.	The research indicated a correlation between exercise and improved mental health, although further studies are needed to establish causality.	FALSE	TRUE	TRUE	10	2025-12-14 12:16:40	3.3	완료	A++	LLM분석(1회시도,완성도100%)	2
☐	I	-	3	I	PRON	PRON	/aɪ/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	나, 저	the person speaking or writing	From Old English 'ic', from Proto-Germanic '*ek', from Proto-Indo-European '*eǵʰom' (I).	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	12	5급	초급	pronoun|personal pronoun	none	me|myself	you|he|she|it|they	I think|I believe|I know|I feel|I mean|I guess|I hope|I understand|I remember|I imagine	none	general	general	people, self	Global	current	Students will be able to use 'I' correctly in simple sentences to refer to themselves.	Basic understanding of nouns and verbs.	Confusing 'I' with 'me' in object positions; incorrect verb conjugation (e.g., 'I is' instead of 'I am').	Use picture prompts and role-playing to practice using 'I' in sentences.	I am a student.	I realized that I had made a mistake in my calculations.	I find myself increasingly drawn to the philosophical implications of quantum mechanics.	TRUE	TRUE	TRUE	10	2025-12-14 12:16:50	3.3	완료	A++	LLM분석(1회시도,완성도100%)	3
☐	To	-	4	to	PREP	PREP	/tuː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	에, 에게, ~로, ~까지, ~위하여	Expressing direction or location; expressing purpose or intention.	From Old English 'tō', indicating direction or purpose.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	85	5급	초급	preposition|particle	toward|into|onto	towards|for|in order to	from	go to | according to | close to | due to | in order to	none	general	general	direction, purpose	Global	current	Students will be able to use 'to' correctly to indicate direction, purpose, and infinitive verbs.	Basic understanding of nouns, verbs, and prepositions.	Confusion with 'too' and 'two'; incorrect preposition usage.	Use visual aids to demonstrate direction; practice with fill-in-the-blank exercises; role-playing scenarios.	I am going to the store.	She went to the library to study for her exams.	The key to success is perseverance.	TRUE	TRUE	TRUE	10	2025-12-14 12:16:59	3.3	완료	A++	LLM분석(1회시도,완성도100%)	4
☐	of	-	5	of	PREP	PREP	/ʌv/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	…의, …에서, …에 관하여	Expressing the relationship between a part and a whole, belonging, origin, or connection.	From Old English 'of', meaning 'from, out of'. Ultimately from Proto-Germanic *af, *ab, meaning 'away, off'.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	85	5급	초급	preposition	None (basic preposition)	belonging to, from, concerning	None (context-dependent)	a lot of | kind of | type of | because of | made of | part of | instead of | out of | on behalf of | in front of	off	general	general	grammar, relationships	Global	current	Students will be able to use 'of' to show relationships between nouns, possession, and origin.	Basic noun and sentence structure.	Confusion with 'have' in contractions (e.g., 'should've' instead of 'should of'). Incorrect omission or addition in complex sentences.	Use visual aids to demonstrate relationships. Practice sentence completion exercises. Provide examples in context.	A piece of cake.	The quality of the music was surprisingly good, considering the venue.	The nuances of the argument were lost on the casual observer.	TRUE	TRUE	TRUE	10	2025-12-23 19:18:36	3.3	완료	A++	LLM분석(1회시도,완성도100%)	5
☐	A	-	6	A	N	N	/eɪ/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	에이 (알파벳)	The first letter of the English alphabet.	From the Greek letter alpha, which was derived from the Phoenician letter aleph, meaning 'ox'.	simple	simple	초등	초3-초6	포함	포함	K	1	0L-100L	Yes	12	5급	초급	letter|grapheme	alpha	alpha	Z	letter A | grade A | vitamin A	N/A	general	general	alphabet, language	Global	current	Identify and pronounce the letter A; understand its place in the alphabet.	Basic alphabet knowledge.	Confusing 'a' (article) with 'A' (letter).	Flashcards, alphabet songs, tracing activities.	A is the first letter of the alphabet.	She received an A on her exam, indicating a strong understanding of the material.	The 'A' in her report card was a testament to her diligent study habits, a clear indication of her mastery of the subject matter.	TRUE	TRUE	TRUE	10	2025-12-23 19:18:48	3.3	완료	A++	LLM분석(1회시도,완성도100%)	6
☐	You	-	7	you	PRON	PRON	/juː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	너, 당신	the person or people that I am speaking or writing to	From Old English 'ēow', dative/accusative plural of 'þū' (thou).	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	12	5급	초급	pronoun | person	none	yourself	I	you know | you see | are you | do you | thank you	your | yourself	general	general	people, pronouns	Global	current	Students will be able to use 'you' correctly in simple sentences.	Basic subject pronouns (I, he, she, it, we, they).	Confusion with 'your' and 'you're'.	Use role-playing and simple sentence construction exercises.	You are my friend.	If you want to succeed, you need to work hard.	It is incumbent upon you to make the right decision.	TRUE	TRUE	TRUE	10	2025-12-23 19:19:00	3.3	완료	A++	LLM분석(1회시도,완성도100%)	7
☐	IT	-	8	it	PRON	PRON	/ɪt/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그것	used to refer to a thing previously mentioned or easily identified.	From Old English 'hit', neuter pronoun, from Proto-Germanic '*hit', from PIE '*ḱe-', demonstrative pronoun.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	80	5급	초급	pronoun	none	this|that	he|she	it is|it was|it seems|it appears|it depends	none	general	general	pronouns, grammar	Global	current	Students will be able to use 'it' correctly as a pronoun to refer to objects, animals, or situations.	Basic understanding of nouns and pronouns.	Confusing 'it's' (it is) with 'its' (possessive).	Use real objects and pictures to demonstrate the use of 'it'. Practice substitution exercises.	It is raining.	It is important to consider all factors before making a decision.	The company's IT infrastructure is crucial for its daily operations, ensuring seamless communication and data management across all departments.	TRUE	TRUE	TRUE	10	2025-12-23 19:19:10	3.3	완료	A++	LLM분석(1회시도,완성도100%)	8
☐	That	-	9	that	PRON	DET/PRON/CONJ/ADV	/ðæt/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	저것, 그, ~라는 것	used to identify a specific thing observed or heard by the speaker; used to introduce a subordinate clause.	From Old English 'þæt', neuter of 'se' (the).	Single morpheme	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	15	5급	초급	demonstrative|determiner|pronoun|conjunction|adverb	that's	which|who|what|the	this	that said | that is | that way | that time | that day	the|this|those|then	general	general	demonstratives, pronouns, conjunctions	Global	current	Students will be able to use 'that' as a demonstrative, pronoun, and conjunction.	Basic sentence structure, pronouns, demonstratives.	Confusion with 'this' and 'it'. Incorrect use in relative clauses.	Contextual examples, repetition, fill-in-the-blanks.	That is my book.	I didn't know that you were coming to the party.	That he would betray their trust was beyond comprehension.	TRUE	TRUE	TRUE	10	2025-12-23 19:20:08	3.3	완료	A++	LLM분석(1회시도,완성도100%)	9
☐	In	-	10	in	PREP	PREP	/ɪn/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	안에, ~에	Expressing the situation of something that is or appears to be enclosed or surrounded by something else.	From Old English 'in', of Germanic origin; related to Dutch 'in' and German 'in', from an Indo-European root meaning 'in'.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	85	5급	초급	preposition|adverb	within|inside	within|inside|during	out|outside	in the morning|in the evening|in a hurry|in love|in charge	none	general	general	location, position	Global	current	Students will be able to use 'in' correctly to describe location, time, and other relationships.	Basic vocabulary related to places and objects.	Confusing 'in' with 'on' or 'at' when referring to location or time.	Use visual aids and real-life examples to demonstrate the meaning of 'in'. Practice with fill-in-the-blank exercises and sentence construction.	The cat is in the box.	She is currently working in the marketing department of a large corporation.	The nuances of the argument are deeply embedded in the historical context, requiring a thorough understanding of the period.	TRUE	TRUE	TRUE	10	2025-12-23 19:20:17	3.3	완료	A++	LLM분석(1회시도,완성도100%)	10
